Symbol,Name,Sector
AAPL,Apple,Technology
ABBV,AbbVie,Healthcare
ABT,Abbott,Healthcare
ACN,Accenture,Technology
ADBE,Adobe,Technology
AIG,American International Group,Financials
AMD,AMD,Technology
AMGN,Amgen,Healthcare
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
AVGO,Broadcom,Technology
AXP,American Express,Financials
BA,Boeing,Industrials
BAC,Bank of America,Financials
BK,BNY Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BLK,BlackRock,Financials
BMY,Bristol Myers Squibb,Healthcare
BRK-B,Berkshire Hathaway (Class B),Financials
C,Citigroup,Financials
CAT,Caterpillar,Industrials
CHTR,Charter Communications,Communication Services
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
COF,Capital One,Financials
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CRM,Salesforce,Technology
CSCO,Cisco,Technology
CVS,CVS Health,Healthcare
CVX,Chevron,Energy
DE,Deere & Company,Industrials
DHR,Danaher,Healthcare
DIS,Disney,Communication Services
DUK,Duke Energy,Utilities
EMR,Emerson,Industrials
EXC,Exelon,Utilities
F,Ford,Consumer Discretionary
FDX,FedEx,Industrials
GD,General Dynamics,Industrials
GE,GE,Industrials
GILD,Gilead,Healthcare
GM,GM,Consumer Discretionary
GOOG,Alphabet (Class C),Communication Services
GOOGL,Alphabet (Class A),Communication Services
GS,Goldman Sachs,Financials
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
IBM,IBM,Technology
INTC,Intel,Technology
JNJ,Johnson & Johnson,Healthcare
JPM,JPMorgan Chase,Financials
KHC,Kraft Heinz,Consumer Staples
KO,Coca-Cola,Consumer Staples
LIN,Linde,Materials
LLY,Lilly,Healthcare
LMT,Lockheed Martin,Industrials
LOW,Lowe's,Consumer Discretionary
MA,Mastercard,Technology
MCD,McDonald's,Consumer Discretionary
MDLZ,Mondelēz International,Consumer Staples
MDT,Medtronic,Healthcare
MET,MetLife,Financials
META,Meta,Communication Services
MMM,3M,Industrials
MO,Altria,Consumer Staples
MRK,Merck,Healthcare
MS,Morgan Stanley,Financials
MSFT,Microsoft,Technology
NEE,NextEra Energy,Utilities
NFLX,Netflix,Communication Services
NKE,Nike,Consumer Discretionary
NVDA,Nvidia,Technology
ORCL,Oracle,Technology
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Healthcare
PG,Procter & Gamble,Consumer Staples
PM,Philip Morris International,Consumer Staples
PYPL,PayPal,Technology
QCOM,Qualcomm,Technology
RTX,RTX Corporation,Industrials
SBUX,Starbucks,Consumer Discretionary
SCHW,Charles Schwab,Financials
SO,Southern Company,Utilities
SPG,Simon,Real Estate
T,AT&T,Communication Services
TGT,Target,Consumer Discretionary
TMO,Thermo Fisher Scientific,Healthcare
TMUS,T-Mobile,Communication Services
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Technology
UNH,UnitedHealth Group,Healthcare
UNP,Union Pacific,Industrials
UPS,United Parcel Service,Industrials
USB,U.S. Bank,Financials
V,Visa,Technology
VZ,Verizon,Communication Services
WFC,Wells Fargo,Financials
WMT,Walmart,Consumer Staples
XOM,ExxonMobil,Energy
